# Simulation 2 (Up to date)
# 740 data points written for 3 variables.
#
# Time (s),Altitude (m),Total velocity (m/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,3.6503e-4,0.073007
0.02,0.0031635,0.4867
0.03,0.011595,1.1997
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.028554,2.1922
0.05,0.056837,3.4646
0.06,0.099238,5.0159
0.07,0.15781,6.6994
0.08,0.23338,8.4144
0.09,0.32626,10.161
0.099842,0.43486,11.91
0.10824,0.54121,13.422
0.11569,0.64624,14.771
0.12246,0.75041,16.003
0.12871,0.85398,17.146
0.13454,0.9571,18.218
# Event LAUNCHROD occurred at t=0.14003 seconds
0.14003,1.0599,19.23
0.14826,1.2245,20.756
0.16061,1.4951,23.067
0.17914,1.9549,26.581
0.19453,2.3867,29.544
0.20679,2.7636,31.93
0.21812,3.1377,34.15
0.22872,3.5104,36.242
0.23876,3.8843,38.238
0.24839,4.2614,40.16
0.2577,4.6437,42.029
0.26678,5.0337,43.863
0.27573,5.4339,45.675
0.28461,5.8473,47.475
0.29351,6.2776,49.28
0.30252,6.7298,51.107
0.31182,7.2136,52.992
0.32174,7.7488,55.001
0.33265,8.3612,57.212
0.34532,9.1017,59.775
0.36174,10.111,63.095
0.38638,11.726,68.065
0.42333,14.378,75.449
0.43229,15.061,77.203
0.43969,15.638,78.644
0.44622,16.155,79.908
0.45215,16.633,81.057
0.45769,17.084,82.127
0.46297,17.521,83.148
0.46805,17.944,84.129
0.47296,18.359,85.077
0.47773,18.767,85.999
0.48239,19.169,86.901
0.48697,19.568,87.787
0.49148,19.966,88.658
0.49594,20.362,89.518
0.50038,20.761,90.371
0.5048,21.161,91.219
0.5092,21.563,92.063
0.51361,21.969,92.906
0.51803,22.381,93.752
0.5225,22.8,94.605
0.52704,23.23,95.472
0.53168,23.674,96.358
0.53647,24.135,97.272
0.54144,24.62,98.222
0.54668,25.134,99.223
0.55227,25.689,100.29
0.55829,26.294,101.44
0.56483,26.958,102.69
0.57216,27.711,104.1
0.58081,28.614,105.74
0.59223,29.826,107.91
0.60936,31.69,111.12
0.63505,34.587,115.88
0.6415,35.333,117.06
0.647,35.976,118.07
0.65195,36.559,118.97
0.65654,37.102,119.8
0.66085,37.617,120.57
0.66497,38.112,121.31
0.66894,38.592,122.02
0.67281,39.063,122.7
0.67661,39.527,123.37
0.68036,39.988,124.02
0.68409,40.448,124.67
0.68781,40.911,125.32
0.69156,41.379,125.96
0.69537,41.857,126.62
0.69925,42.347,127.28
0.70326,42.855,127.96
0.70748,43.394,128.68
0.71202,43.975,129.44
0.71701,44.62,130.28
0.72269,45.358,131.23
0.72957,46.258,132.37
0.73913,47.524,133.95
0.75347,49.449,136.26
0.77438,52.315,139.52
0.78086,53.216,140.49
0.7864,53.991,141.32
0.79144,54.7,142.07
0.79616,55.368,142.77
0.80068,56.01,143.44
0.80508,56.637,144.08
0.8094,57.258,144.71
0.81371,57.878,145.34
0.81807,58.507,145.97
0.82251,59.152,146.61
0.82712,59.824,147.27
0.83199,60.538,147.97
0.83726,61.314,148.73
0.84316,62.186,149.57
0.85018,63.23,150.56
0.85954,64.635,151.88
0.87359,66.764,153.83
0.89467,70.007,156.56
0.90236,71.205,157.49
0.90866,72.19,158.22
0.91432,73.08,158.83
0.91967,73.923,159.35
0.92485,74.744,159.8
0.93001,75.561,160.2
0.93526,76.396,160.56
0.94072,77.267,160.88
0.9466,78.206,161.16
0.95319,79.26,161.4
0.96099,80.509,161.6
0.97123,82.151,161.72
0.98659,84.614,161.59
1.0096,88.298,160.89
1.0194,89.858,160.51
1.0278,91.193,160.15
1.0358,92.462,159.78
1.0439,93.737,159.39
1.0525,95.098,158.97
1.0623,96.636,158.48
1.0743,98.52,157.87
# Event BURNOUT occurred at t=1.0923 seconds
1.0923,101.33,156.95
1.1193,105.52,155.59
1.1369,108.23,154.72
1.1508,110.34,154.04
1.1647,112.47,153.36
1.1816,115.04,152.54
